"","CS1","CS2","CS3"
"FD_box",-0.352299021530465,0.0281767786427365,0.930197378911936
"FD_madogram",-0.488280614138533,0.370439165175285,-0.113364141667493
"PSD",-0.418874977771133,0.616381414585601,-0.237050122459473
"SI",-0.509087168803056,-0.353068604275222,-0.21017071553851
"SCI",-0.450379227809737,-0.597827237986157,-0.146686459570528
